"일시","대분류","중분류","소분류","상품명","수량","개별가격","개별 할인률","개별할인적용가","카드결제가","현금결제가","포인트결제가","총액","고객명","전화번호","판매직원","위탁자","은행","계좌","예금주","매입처"
"2020-10-03T06:32:58.964Z","위탁 상품","","","",11,3333,,3333,0,3333,0,36663,"박재희","010-2149-1111","","박재희","국민은행","94290200246889","김지헌",""
"2020-10-03T06:33:29.133Z","위탁 상품","","","",11,3333,,3333,0,3333,0,36663,"박재희","010-2149-1111","","박재희","국민은행","94290200246889","김지헌",""
"2020-10-03T06:33:36.373Z","위탁 상품","","","",5,3333,,3333,0,3333,0,16665,"박재희","010-2149-1111","","박재희","국민은행","'94290200246889","김지헌",""
"2020-10-03T17:11:50.000Z","위탁 상품","","","",1,50000,,50000,0,50000,0,50000,"변지현","010-2149-2222","","변지현","우리은행","1002332561417","김지헌",""
"2020-10-03T08:24:16.643Z","위탁 상품","","","",2,3333,,3333,0,3333,0,6666,"박재희","010-2149-1111","","박재희","국민은행","94290200246889","김지헌",""
"2020-10-03T08:25:13.694Z","위탁 상품","","","카페라떼",2,3333,,3333,0,3333,0,6666,"박재희","010-2149-1111","","박재희","국민은행","94290200246889","김지헌",""
"2020-10-03T17:28:30.000Z","인테리어","가구","장식장","빨간 화분",2,3333,,3333,0,3333,0,6666,"박재희","010-2149-1111","","","","","",""
"2020-10-03T17:29:58.000Z","인테리어","가구","장식장","빨간 화분",2,3333,,3333,0,3333,0,6666,"박재희","010-2149-1111","","","","","",""
"2020-10-03T17:30:50.000Z","인테리어","가구","장식장","빨간 화분",2,3333,,3333,0,3333,0,6666,"박재희","010-2149-1111","","","","","","coffee namu"
"2020-10-03T17:50:56.000Z","위탁 상품","","","되냐?",1,50000,,50000,50000,0,0,50000,"박재희","010-2149-1111","","변지현","우리은행","1002332561417","김지헌",""
"2020-10-03T17:51:48.000Z","가전","일반가전","에어컨","에어컨16",3,1600000,,1600000,0,1600000,0,4800000,"변지현","010-2149-2222","","","","","",""
"2020-10-03T17:54:09.000Z","가전","일반가전","에어컨","에어컨17",4,1700000,,1700000,0,1700000,0,6800000,"변지현","010-2149-2222","","","","","",""
"2020-10-03T18:49:12.000Z","위탁 상품","","","카페라떼",96,1000,,1800,0,500,1300,172800,"박재희","010-2149-1111","","박재희","국민은행","94290200246889","김지헌",""
"2020-10-04T01:57:21.000Z","위탁 상품","","","카페라떼",3,1000,,1800,1000000,649700,30000,5400,"박재희","010-2149-1111","","박재희","국민은행","'94290200246889","김지헌",""
"2020-10-04T01:57:21.000Z","인테리어","가구","장식장","빨간 화분",94,799000,,1677900,1000000,649700,30000,157722600,"박재희","010-2149-1111","","","","","","coffee namu"
